id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1348621458923253760,1348621458923253760,2021-01-11 19:23:06 Bangladesh Standard Time,2021-01-11,19:23:06,+0600,1172968820325134336,scottke12897412,Scott Kelley,,"To the white guy in the video, “you broke the law. Shut up and cooperate with the police.” From one white guy to another, did you think you were above the law? Dumbass! #CapitalHill #CapitolRiots #Sedition @johncusack John Cusack, Thanks for the photo. #FerrisBueller",en,"[{'screen_name': 'johncusack', 'name': 'john cusack', 'id': '17017636'}]",[],[],0,0,0,"['capitalhill', 'capitolriots', 'sedition', 'ferrisbueller']",[],https://twitter.com/ScottKe12897412/status/1348621458923253760,False,https://twitter.com/johncusack/status/1348542468434890755,0,,,,,,,,[],,,,
1348621363381215246,1348621363381215246,2021-01-11 19:22:43 Bangladesh Standard Time,2021-01-11,19:22:43,+0600,48607333,1blahgger,Michael Goldman,,#18USC373     #18USC2384  these laws exist for a reason #CapitalHill #Accountability #ArrestDonaldTrump #ArrestTrump #ArrestTrumpNow,en,[],[],[],0,0,0,"['18usc373', '18usc2384', 'capitalhill', 'accountability', 'arrestdonaldtrump', 'arresttrump', 'arresttrumpnow']",[],https://twitter.com/1blahgger/status/1348621363381215246,False,,0,,,,,,,,[],,,,
1348621141523496961,1348591536007733248,2021-01-11 19:21:50 Bangladesh Standard Time,2021-01-11,19:21:50,+0600,1117876051034689538,leaflover7,LeafLover,,@LloydPMacKay1 @FoxNews This Canadian agrees. They did not use weapons to get entry to Capital Hill building. They did not shoot people inside building but were shot. Those politicians are afraid of facing protesters and MSM has been extremely biased.,en,[],[],[],0,0,0,[],[],https://twitter.com/LeafLover7/status/1348621141523496961,False,,0,,,,,,,,"[{'screen_name': 'LloydPMacKay1', 'name': 'Lloyd P MacKay', 'id': '1028408372671000577'}, {'screen_name': 'FoxNews', 'name': 'Fox News', 'id': '1367531'}]",,,,
1348620980583886848,1348620980583886848,2021-01-11 19:21:12 Bangladesh Standard Time,2021-01-11,19:21:12,+0600,20827334,clarissadane,Clarissa Dane Hughes💎,,In case anyone was doubting... #WhitePrivilege #CapitalHill #BlackLivesMatter #CapitolBuilding #CrimeAndJustice #NoFlyList #JusticeMatters #DomesticTerrorists #SilenceEqualsCompliance #Jesus #stormtheCapitol,en,[],[],[],1,1,0,"['whiteprivilege', 'capitalhill', 'blacklivesmatter', 'capitolbuilding', 'crimeandjustice', 'noflylist', 'justicematters', 'domesticterrorists', 'silenceequalscompliance', 'jesus', 'stormthecapitol']",[],https://twitter.com/clarissadane/status/1348620980583886848,False,https://twitter.com/mulkiizm/status/1348402887156789250,0,,,,,,,,[],,,,
1348620934123425792,1348620934123425792,2021-01-11 19:21:01 Bangladesh Standard Time,2021-01-11,19:21:01,+0600,866821540079435777,sidney_chest,"Groot Speaks - ""I Stand Against the LIBERALS """,,"Pelosi spent 4 years attempting to destroy Trump  The Old HAG, now wants to impeach.  ANTIFA CONTROLLED BY THE DEMOCRATS  brought in by BUS, overtook Capital Hill.  So much for Democracy  Propaganda rules in NORTH AMERICA",en,[],[],[],0,2,6,[],[],https://twitter.com/sidney_chest/status/1348620934123425792,False,,0,,,,,,,,[],,,,
1348620920953384962,1348615673799438338,2021-01-11 19:20:58 Bangladesh Standard Time,2021-01-11,19:20:58,+0600,1346418640116195328,terryhi58866121,Terry Hill,,"@JennaDodd5 @SecPompeo You’re right.... and I cannot let myself believe his work is done. No way 500,000 marched on the Capital for nothing!",en,[],[],[],0,0,3,[],[],https://twitter.com/TerryHi58866121/status/1348620920953384962,False,,0,,,,,,,,"[{'screen_name': 'JennaDodd5', 'name': 'Jenna Dodd', 'id': '1348457356816998402'}, {'screen_name': 'SecPompeo', 'name': 'Secretary Pompeo', 'id': '988573326376427520'}]",,,,
1348620752074002434,1348007528957947906,2021-01-11 19:20:18 Bangladesh Standard Time,2021-01-11,19:20:18,+0600,1183802650535649284,manishk24335833,manish kumar,,@Grace4NY @nytimes And yet Squad members want defund the police ! The very police who died while defending them at capital hill terrorist attack ! Shame on squad ! They are same like trump !,en,[],[],[],0,0,0,[],[],https://twitter.com/manishk24335833/status/1348620752074002434,False,,0,,,,,,,,"[{'screen_name': 'Grace4NY', 'name': 'Grace Meng', 'id': '571214272'}, {'screen_name': 'nytimes', 'name': 'The New York Times', 'id': '807095'}]",,,,
1348620716770537474,1348620716770537474,2021-01-11 19:20:09 Bangladesh Standard Time,2021-01-11,19:20:09,+0600,3843879981,tiredmom3boys,SG,,As an American I am glad that companies &amp; organizations are pulling away from Trump &amp; those that support him. Yet I am saddened that it took the horrific attack on Capital Hill for this to finally happen. People should have stood up to him a long time ago. #AbandonTrump,en,[],[],[],0,0,0,['abandontrump'],[],https://twitter.com/TiredMom3boys/status/1348620716770537474,False,,0,,,,,,,,[],,,,
1348620475522555905,1348620475522555905,2021-01-11 19:19:12 Bangladesh Standard Time,2021-01-11,19:19:12,+0600,23150215,thall40,Tyrone Hall,,Pelosi is a piece of shit! I'm sick of her lies! And the DEMONS ON CAPITAL LINE HILL! THE STORM IS COMING PEOPLE! THIS TRASH IS THE MINION OF HER FATHER LUCIFER!,en,[],[],[],0,0,1,[],[],https://twitter.com/thall40/status/1348620475522555905,False,,0,,,,,,,,[],,,,
1348620453200474113,1348620453200474113,2021-01-11 19:19:06 Bangladesh Standard Time,2021-01-11,19:19:06,+0600,1330636875195953159,davidva23495272,david vasquez,,"all those Rioters or so called in my book TERRORIST-TOUGS, that Stormed Capital Hill, should be Put in Jail, charges brought to them, PUT them all in a Space Ship, and SHIP Them to Space, They are NOT Americans ...",en,[],[],[],0,0,0,[],[],https://twitter.com/davidva23495272/status/1348620453200474113,False,,0,,,,,,,,[],,,,
1348620231003025408,1348620231003025408,2021-01-11 19:18:13 Bangladesh Standard Time,2021-01-11,19:18:13,+0600,1348542499653120000,jayden46070829,jayden,,Would you rather have are rights and go to war or lose are rights??#Americans #CapitalHill #SteveSmith #worldwar3 #AUSvIND #AnushkaSharma #SarkOnWavy #XRPCommunity #EndSARS #farmersrprotest #HWAAoutNOW #parlershutdown,en,[],[],[],1,0,0,"['americans', 'capitalhill', 'stevesmith', 'worldwar3', 'ausvind', 'anushkasharma', 'sarkonwavy', 'xrpcommunity', 'endsars', 'farmersrprotest', 'hwaaoutnow', 'parlershutdown']",[],https://twitter.com/jayden46070829/status/1348620231003025408,False,,0,,,,,,,,[],,,,
1348619863540035589,1348544256764497921,2021-01-11 19:16:46 Bangladesh Standard Time,2021-01-11,19:16:46,+0600,702317002166173696,hailcesr,C.E.S.R.,,"@verge Now my friends get why I said 2 years ago that #DonaldTrump was here to usher in the antiChrist. #Trump has normalized lies, hate, hypocrisy, spite, lustful words, and disloyalty. Bible says ""Many will be deceived""...I bet the many are #GOP! #CapitalHill #capitalriots #trumpcult",en,[],[],[],0,0,0,"['donaldtrump', 'trump', 'gop', 'capitalhill', 'capitalriots', 'trumpcult']",[],https://twitter.com/HailCesr/status/1348619863540035589,False,,0,,,,,,,,"[{'screen_name': 'verge', 'name': 'The Verge', 'id': '275686563'}]",,,,
1348619668844634112,1348619668844634112,2021-01-11 19:15:59 Bangladesh Standard Time,2021-01-11,19:15:59,+0600,881186299083882496,sitav2009,"Don’t Boo, vote!",,Wonder where @KellyannePolls is with her alternative facts.  Those mofos have been quiet as church mice.  #TrumpIsACompleteFailure #insurrection #CapitolBuilding #CapitalHill,en,"[{'screen_name': 'kellyannepolls', 'name': 'kellyanne conway', 'id': '471672239'}]",[],[],0,0,0,"['trumpisacompletefailure', 'insurrection', 'capitolbuilding', 'capitalhill']",[],https://twitter.com/sitav2009/status/1348619668844634112,False,,0,,,,,,,,[],,,,
